score,modifications,signal_pairing,chassis
198.57,range_p+-1_0.5_r+5.5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
300.2,range_p+-0.5_0.5_r+5.5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
404.3,range_p+0.5_0.5_r+5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
324.01,range_p+1_0.5_r+7_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
83.49,range_p+1_0.5_r+6_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
404.3,range_p+0.5_0.5_r+5.5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
300.2,range_p+-0.5_0.5_r+5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
360.79,range_p+0_0.5_r+6.5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
362.06,range_p+0_0.5_r+6_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
360.79,range_p+0_0.5_r+7_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
411.87,range_p+1_0.5_r+5.5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
359.06,range_p+0.5_0.5_r+7_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
359.06,range_p+0.5_0.5_r+6_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
324.01,range_p+1_0.5_r+5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
324.01,range_p+1_0.5_r+6.5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
360.79,range_p+0_0.5_r+5.5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
198.57,range_p+-1_0.5_r+7_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
198.57,range_p+-1_0.5_r+6_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
404.3,range_p+0.5_0.5_r+6.5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
362.06,range_p+0_0.5_r+5_0.5.json,"['Ara', 'OHC14']",Eco2C1G3T1
86.73,range_p+-1_0.5_r+5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
185.38,range_p+-1_0.5_r+5.5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
84.34,range_p+-0.5_0.5_r+5.5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
391.24,range_p+0.5_0.5_r+5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
323.59,range_p+1_0.5_r+7_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
390.54,range_p+1_0.5_r+6_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
356.79,range_p+0.5_0.5_r+5.5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
217.24,range_p+-0.5_0.5_r+5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
348.99,range_p+0_0.5_r+6.5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
351.95,range_p+0_0.5_r+6_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
348.99,range_p+0_0.5_r+7_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
323.59,range_p+1_0.5_r+5.5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
391.24,range_p+0.5_0.5_r+7_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
356.79,range_p+0.5_0.5_r+6_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
323.59,range_p+1_0.5_r+5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
323.59,range_p+1_0.5_r+6.5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
348.99,range_p+0_0.5_r+5.5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
86.73,range_p+-1_0.5_r+7_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
185.38,range_p+-1_0.5_r+6_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
356.79,range_p+0.5_0.5_r+6.5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
348.99,range_p+0_0.5_r+5_0.5.json,"['Ara', 'Van']",Eco2C1G3T1
315.66,range_p+0.5_0.5_r+7_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
315.15,range_p+0.5_0.5_r+6_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
76.77,range_p+1_0.5_r+5_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
83.26,range_p+1_0.5_r+6.5_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
321.22,range_p+0_0.5_r+5.5_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
315.66,range_p+0.5_0.5_r+6.5_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
281.36,range_p+-1_0.5_r+6_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
138.45,range_p+-1_0.5_r+7_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
314.41,range_p+-0.5_0.5_r+7_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
169.26,range_p+-0.5_0.5_r+6_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
281.36,range_p+-1_0.5_r+6.5_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
184.31,range_p+0_0.5_r+5_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
130.42,range_p+-0.5_0.5_r+5.5_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
314.41,range_p+-0.5_0.5_r+6.5_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
97.27,range_p+-1_0.5_r+5_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
285.14,range_p+1_0.5_r+6_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
79.23,range_p+1_0.5_r+7_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
281.36,range_p+-1_0.5_r+5.5_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
315.66,range_p+0.5_0.5_r+5_0.5.json,"['AraC', 'LuxR']",Eco1C1G1T1
165.4,range_p+-1_0.5_r+5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
165.4,range_p+-1_0.5_r+5.5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
174.02,range_p+-0.5_0.5_r+5.5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
364.59,range_p+0.5_0.5_r+5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
386.83,range_p+1_0.5_r+7_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
386.83,range_p+1_0.5_r+6_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
364.59,range_p+0.5_0.5_r+5.5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
174.02,range_p+-0.5_0.5_r+5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
85.19,range_p+0_0.5_r+6.5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
221.58,range_p+0_0.5_r+6_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
221.58,range_p+0_0.5_r+7_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
88.94,range_p+1_0.5_r+5.5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
364.59,range_p+0.5_0.5_r+7_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
364.59,range_p+0.5_0.5_r+6_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
386.83,range_p+1_0.5_r+5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
386.83,range_p+1_0.5_r+6.5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
221.58,range_p+0_0.5_r+5.5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
165.4,range_p+-1_0.5_r+7_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
165.4,range_p+-1_0.5_r+6_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
364.59,range_p+0.5_0.5_r+6.5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
221.58,range_p+0_0.5_r+5_0.5.json,"['aTc', 'Cuma']",Eco2C1G3T1
5.02,range_p+-1_0.5_r+5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
5.02,range_p+-1_0.5_r+5.5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
10.63,range_p+-0.5_0.5_r+5.5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
70.46,range_p+0.5_0.5_r+5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
83.69,range_p+1_0.5_r+7_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
81.33,range_p+1_0.5_r+6_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
70.46,range_p+0.5_0.5_r+5.5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
10.63,range_p+-0.5_0.5_r+5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
35.43,range_p+0_0.5_r+6.5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
35.43,range_p+0_0.5_r+6_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
35.43,range_p+0_0.5_r+7_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
81.33,range_p+1_0.5_r+5.5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
70.46,range_p+0.5_0.5_r+7_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
68.16,range_p+0.5_0.5_r+6_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
45.02,range_p+1_0.5_r+5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
83.69,range_p+1_0.5_r+6.5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
35.43,range_p+0_0.5_r+5.5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
5.02,range_p+-1_0.5_r+7_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
5.02,range_p+-1_0.5_r+6_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
68.16,range_p+0.5_0.5_r+6.5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
35.43,range_p+0_0.5_r+5_0.5.json,"['aTc', 'Nar']",Eco2C1G3T1
229.56,range_p+-1_0.5_r+5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
255.2,range_p+-1_0.5_r+5.5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
370.2,range_p+-0.5_0.5_r+5.5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
412.8,range_p+0.5_0.5_r+5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
413.68,range_p+1_0.5_r+7_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
413.68,range_p+1_0.5_r+6_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
402.85,range_p+0.5_0.5_r+5.5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
370.2,range_p+-0.5_0.5_r+5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
394.58,range_p+0_0.5_r+6.5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
394.58,range_p+0_0.5_r+6_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
403.39,range_p+0_0.5_r+7_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
413.68,range_p+1_0.5_r+5.5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
402.85,range_p+0.5_0.5_r+7_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
412.8,range_p+0.5_0.5_r+6_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
394.47,range_p+1_0.5_r+5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
394.47,range_p+1_0.5_r+6.5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
403.39,range_p+0_0.5_r+5.5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
255.2,range_p+-1_0.5_r+7_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
229.56,range_p+-1_0.5_r+6_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
412.8,range_p+0.5_0.5_r+6.5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
403.39,range_p+0_0.5_r+5_0.5.json,"['aTc', 'OHC14']",Eco2C1G3T1
239.84,range_p+-1_0.5_r+5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
239.84,range_p+-1_0.5_r+5.5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
85.37,range_p+-0.5_0.5_r+5.5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
399.57,range_p+0.5_0.5_r+5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
89.52,range_p+1_0.5_r+7_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
89.53,range_p+1_0.5_r+6_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
399.57,range_p+0.5_0.5_r+5.5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
358.14,range_p+-0.5_0.5_r+5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
382.52,range_p+0_0.5_r+6.5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
393,range_p+0_0.5_r+6_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
393,range_p+0_0.5_r+7_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
392.26,range_p+1_0.5_r+5.5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
400.4,range_p+0.5_0.5_r+7_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
399.57,range_p+0.5_0.5_r+6_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
393.96,range_p+1_0.5_r+5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
392.26,range_p+1_0.5_r+6.5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
89.47,range_p+0_0.5_r+5.5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
219.48,range_p+-1_0.5_r+7_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
239.84,range_p+-1_0.5_r+6_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
399.57,range_p+0.5_0.5_r+6.5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
393,range_p+0_0.5_r+5_0.5.json,"['aTc', 'Van']",Eco2C1G3T1
4.89,range_p+-1_0.5_r+5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
4.89,range_p+-1_0.5_r+5.5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
10.36,range_p+-0.5_0.5_r+5.5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
15.42,range_p+0.5_0.5_r+5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
44.17,range_p+1_0.5_r+7_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
44.17,range_p+1_0.5_r+6_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
29.96,range_p+0.5_0.5_r+5.5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
10.36,range_p+-0.5_0.5_r+5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
24.45,range_p+0_0.5_r+6.5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
24.45,range_p+0_0.5_r+6_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
24.45,range_p+0_0.5_r+7_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
44.17,range_p+1_0.5_r+5.5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
29.96,range_p+0.5_0.5_r+7_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
15.42,range_p+0.5_0.5_r+6_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
44.17,range_p+1_0.5_r+5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
38.75,range_p+1_0.5_r+6.5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
24.45,range_p+0_0.5_r+5.5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
4.89,range_p+-1_0.5_r+7_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
4.89,range_p+-1_0.5_r+6_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
29.96,range_p+0.5_0.5_r+6.5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
24.45,range_p+0_0.5_r+5_0.5.json,"['Cuma', 'Nar']",Eco2C1G3T1
88.05,range_p+-1_0.5_r+5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
158.73,range_p+-1_0.5_r+5.5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
71,range_p+-0.5_0.5_r+5.5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
371.29,range_p+0.5_0.5_r+5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
405.14,range_p+1_0.5_r+7_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
405.14,range_p+1_0.5_r+6_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
371.29,range_p+0.5_0.5_r+5.5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
170.44,range_p+-0.5_0.5_r+5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
220.3,range_p+0_0.5_r+6.5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
220.3,range_p+0_0.5_r+6_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
220.3,range_p+0_0.5_r+7_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
405.14,range_p+1_0.5_r+5.5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
371.29,range_p+0.5_0.5_r+7_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
371.29,range_p+0.5_0.5_r+6_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
405.14,range_p+1_0.5_r+5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
405.14,range_p+1_0.5_r+6.5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
220.3,range_p+0_0.5_r+5.5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
97.55,range_p+-1_0.5_r+7_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
158.73,range_p+-1_0.5_r+6_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
371.29,range_p+0.5_0.5_r+6.5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
220.3,range_p+0_0.5_r+5_0.5.json,"['Cuma', 'OHC14']",Eco2C1G3T1
150.45,range_p+-1_0.5_r+5_0.5.json,"['Cuma', 'Van']",Eco2C1G3T1
92.91,range_p+-1_0.5_r+5.5_0.5.json,"['Cuma', 'Van']",Eco2C1G3T1
167.13,range_p+-0.5_0.5_r+5.5_0.5.json,"['Cuma', 'Van']",Eco2C1G3T1
359.01,range_p+0.5_0.5_r+5_0.5.json,"['Cuma', 'Van']",Eco2C1G3T1
384.15,range_p+1_0.5_r+7_0.5.json,"['Cuma', 'Van']",Eco2C1G3T1
384.15,range_p+1_0.5_r+6_0.5.json,"['Cuma', 'Van']",Eco2C1G3T1
